,Unnamed: 0,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Positive,Married_couples_None_Households,NumDistrictHospitals_HMIS,Main_source_of_drinking_water_Un_covered_well_Households,Negative,LPG_or_PNG_Households,Household_size_3_to_5_persons_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Power_Parity_Rs_330000_545000,Illiterate_Education,Cultivator_Workers,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Married_couples_3_or_more_Households,Female_ST,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Gender_Ratio,Households_with_Radio_Transistor,Marginal_Workers,Location_of_drinking_water_source_Away_Households,Married_couples_4_Households,Households_with_Telephone_Mobile_Phone_Both,Household_size_3_persons_Households,Power_Parity_Rs_425000_545000,Buddhists,Total_Power_Parity,Literate,Other_Workers,Having_bathing_facility_Total_Households,Households_with_Scooter_Motorcycle_Moped,type_Collection Site,Literate_Education,Ownership_Rented_Households,Main_source_of_drinking_water_River_Canal_Households,Household_size_6_8_persons_Households,deceased,Higher_Education,Married_couples_2_Households,Household_size_9_persons_and_above_Households,Area,Type_of_latrine_facility_Other_latrine_Households,Power_Parity_Rs_150000_240000,Female_Literate,Households,Main_source_of_drinking_water_Other_sources_Households,Housholds_with_Electric_Lighting,Married_couples_1_Households,DaysFromFirstDate_y,Main_source_of_drinking_water_Tapwater_Households,Power_Parity_Rs_45000_150000,Power_Parity_Rs_90000_150000,Urban_Households,Households_with_Telephone_Mobile_Phone_Mobile_only,Male_SC,NumSubDistrictHospitals_HMIS,recovered,Rural_population,Christians,confirmed,Urban_population,Main_source_of_drinking_water_Tubewell_Borehole_Households,Ownership_Owned_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Religion_Not_Stated,Below_Primary_Education,NumRuralHospitals_NHP18,Location_of_drinking_water_source_Near_the_premises_Households,Power_Parity_Rs_240000_330000,Primary_Education,Households_with_Telephone_Mobile_Phone_Landline_only,Other_Education,Not_having_bathing_facility_within_the_premises_Total_Households,active,Households_with_Bicycle,Others_Religions,Household_size_1_to_2_persons,Household_size_5_persons_Households,Female,Total_Education,Secondary_Education,NumUrbanBeds_NHP18,Male_Literate,Population,ST,DaysFromFirstDate_x,Hindus,Female_SC,Households_with_Internet,Type_of_latrine_facility_Pit_latrine_Households,Main_source_of_drinking_water_Spring_Households,Male,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Graduate_Education,Condition_of_occupied_census_houses_Dilapidated_Households,Age_not_stated,Power_Parity_Rs_45000_90000,Male_Workers,Female_Workers,Population.1,Power_Parity_Rs_330000_425000,Age_Group_50,Muslims,Non_Workers,TotalPublicHealthFacilities_HMIS,Married_couples_5__Households,Having_latrine_facility_within_the_premises_Total_Households,Workers,Age_Group_30_49,NumUrbanHospitals_NHP18,NumPrimaryHealthCenters_HMIS,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Married_couples_3_Households,Location_of_drinking_water_source_Within_the_premises_Households,type_Private Laboratory,Households_with_Telephone_Mobile_Phone,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Main_Workers,Agricultural_Workers,type_Government Laboratory,Male_ST,Middle_Education,Household_size_2_persons_Households,Rural_Households,Density,TotalSamples,Sikhs,Households_with_separate_kitchen_Cooking_inside_house,Households_with_Television,Households_with_Computer,NumCommunityHealthCenters_HMIS,Power_Parity_Above_Rs_545000,zone,Households_with_Car_Jeep_Van,Household_Workers,Age_Group_0_29,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Power_Parity_Less_than_Rs_45000,Jains,Household_size_4_persons_Households,Household_size_1_person_Households,Power_Parity_Rs_150000_330000,NumPublicBeds_HMIS,NumRuralBeds_NHP18,SC,District_code,state_active,state_recovered,state_deceased
32,32,1,Tamil Nadu,Chennai,4,11,0,1629.0,118340,32.0,3500,49506.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,0,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,97,908587,5802,3685,1314125,688857,389001,310.0,99,37229590,358662,378,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,279,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,97,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,59023.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,473,179,0
59,59,2,Tamil Nadu,Chennai,13,14,0,1683.0,118340,32.0,3500,56836.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,0,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,98,908587,5802,3685,1314125,688857,389001,310.0,99,37229590,358662,405,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,306,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,98,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,65977.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,759,202,0
83,83,3,Tamil Nadu,Chennai,17,35,0,1755.0,118340,32.0,3500,62596.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,0,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,99,908587,5802,3685,1314125,688857,389001,310.0,99,37229590,358662,457,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,358,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,99,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,72403.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,583,212,0
108,108,4,Tamil Nadu,Chennai,20,23,0,1821.0,118340,32.0,3500,69390.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,0,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,100,908587,5802,3685,1314125,688857,389001,310.0,99,37229590,358662,500,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,401,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,100,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,80110.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,523,145,0
122,122,5,Tamil Nadu,Chennai,10,18,0,1885.0,118340,32.0,3500,77133.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,0,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,101,908587,5802,3685,1314125,688857,389001,310.0,99,37229590,358662,528,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,429,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,101,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,87605.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,802,155,0
147,147,6,Maharashtra,Mumbai,0,1,0,8068.0,135178,70.0,273,107079.0,494883,369160,9819,36613,12624,262312,6051,1100,18184,11605,6813,929,221503,75062,10889,2446,150960,102012,7597,134257,60163,2509022,1227062,610641,105842,0,2567141,185170,453,128284,219,378764,74432,34584,"307,713",11722,10835,1098342,1107321,3741,625927,409944,102,623468,13819,10334,1107321,390211,111564,101.0,641,61556074,84555,5407,50818259,275,428162,1044,9099,118967,273.0,85525,3595,399792,61038,57044,27097,4547,56086,31094,105710,113720,1400803,2829453,665263,39048.0,1410680,112374333,25093,102,1873762,108370,121344,9072,465,1684608,7707,343374,9825,15577,3485,1021009,263387,3085411,5027,583243,773173,1801015,3239.0,541,427208,1284396,933586,438.0,2638,100244,15197,541324,19,602209,5759,1209334,5745,20,13488,603937,69186,0,365,115147.0,13471,621109,543699,204234,430.0,18289,3.0,80168,45538,1553005,9340,1001,166000,153428,36524,14430,68998.0,12398.0,219934,519,4547,641,219
150,150,6,Tamil Nadu,Chennai,16,31,0,1937.0,118340,32.0,3500,83021.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,0,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,102,908587,5802,3685,1314125,688857,389001,310.0,99,37229590,358662,575,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,476,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,102,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,94781.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,561,145,0
165,165,7,Tamil Nadu,Chennai,32,72,0,2058.0,118340,32.0,3500,97908.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,8,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,103,908587,5802,3685,1314125,688857,389001,310.0,195,37229590,358662,678,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,475,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,103,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,101874.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,503,247,8
184,184,8,Tamil Nadu,Chennai,36,60,0,2162.0,118340,32.0,3500,105864.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,14,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,104,908587,5802,3685,1314125,688857,389001,310.0,210,37229590,358662,772,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,548,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,104,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,109961.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,615,272,16
201,201,9,Tamil Nadu,Chennai,57,81,0,2323.0,118340,32.0,3500,115761.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,15,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,105,908587,5802,3685,1314125,688857,389001,310.0,214,37229590,358662,910,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,681,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,105,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,119748.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,797,352,18
