,Unnamed: 0,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Positive,Married_couples_None_Households,NumDistrictHospitals_HMIS,Main_source_of_drinking_water_Un_covered_well_Households,Negative,LPG_or_PNG_Households,Household_size_3_to_5_persons_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Power_Parity_Rs_330000_545000,Illiterate_Education,Cultivator_Workers,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Married_couples_3_or_more_Households,Female_ST,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Gender_Ratio,Households_with_Radio_Transistor,Marginal_Workers,Location_of_drinking_water_source_Away_Households,Married_couples_4_Households,Households_with_Telephone_Mobile_Phone_Both,Household_size_3_persons_Households,Power_Parity_Rs_425000_545000,Buddhists,Total_Power_Parity,Literate,Other_Workers,Having_bathing_facility_Total_Households,Households_with_Scooter_Motorcycle_Moped,type_Collection Site,Literate_Education,Ownership_Rented_Households,Main_source_of_drinking_water_River_Canal_Households,Household_size_6_8_persons_Households,deceased,Higher_Education,Married_couples_2_Households,Household_size_9_persons_and_above_Households,Area,Type_of_latrine_facility_Other_latrine_Households,Power_Parity_Rs_150000_240000,Female_Literate,Households,Main_source_of_drinking_water_Other_sources_Households,Housholds_with_Electric_Lighting,Married_couples_1_Households,DaysFromFirstDate_y,Main_source_of_drinking_water_Tapwater_Households,Power_Parity_Rs_45000_150000,Power_Parity_Rs_90000_150000,Urban_Households,Households_with_Telephone_Mobile_Phone_Mobile_only,Male_SC,NumSubDistrictHospitals_HMIS,recovered,Rural_population,Christians,confirmed,Urban_population,Main_source_of_drinking_water_Tubewell_Borehole_Households,Ownership_Owned_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Religion_Not_Stated,Below_Primary_Education,NumRuralHospitals_NHP18,Location_of_drinking_water_source_Near_the_premises_Households,Power_Parity_Rs_240000_330000,Primary_Education,Households_with_Telephone_Mobile_Phone_Landline_only,Other_Education,Not_having_bathing_facility_within_the_premises_Total_Households,active,Households_with_Bicycle,Others_Religions,Household_size_1_to_2_persons,Household_size_5_persons_Households,Female,Total_Education,Secondary_Education,NumUrbanBeds_NHP18,Male_Literate,Population,ST,DaysFromFirstDate_x,Hindus,Female_SC,Households_with_Internet,Type_of_latrine_facility_Pit_latrine_Households,Main_source_of_drinking_water_Spring_Households,Male,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Graduate_Education,Condition_of_occupied_census_houses_Dilapidated_Households,Age_not_stated,Power_Parity_Rs_45000_90000,Male_Workers,Female_Workers,Population.1,Power_Parity_Rs_330000_425000,Age_Group_50,Muslims,Non_Workers,TotalPublicHealthFacilities_HMIS,Married_couples_5__Households,Having_latrine_facility_within_the_premises_Total_Households,Workers,Age_Group_30_49,NumUrbanHospitals_NHP18,NumPrimaryHealthCenters_HMIS,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Married_couples_3_Households,Location_of_drinking_water_source_Within_the_premises_Households,type_Private Laboratory,Households_with_Telephone_Mobile_Phone,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Main_Workers,Agricultural_Workers,type_Government Laboratory,Male_ST,Middle_Education,Household_size_2_persons_Households,Rural_Households,Density,TotalSamples,Sikhs,Households_with_separate_kitchen_Cooking_inside_house,Households_with_Television,Households_with_Computer,NumCommunityHealthCenters_HMIS,Power_Parity_Above_Rs_545000,zone,Households_with_Car_Jeep_Van,Household_Workers,Age_Group_0_29,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Power_Parity_Less_than_Rs_45000,Jains,Household_size_4_persons_Households,Household_size_1_person_Households,Power_Parity_Rs_150000_330000,NumPublicBeds_HMIS,NumRuralBeds_NHP18,SC,District_code,state_active,state_recovered,state_deceased
0,0,0,Bihar,Buxar,3,1,0,115.0,20387,43.0,4471,2299.0,27362,88936,589,92957,31,457814,132472,301,37653,12722,3597,918,78643,209775,19459,9136,4408,18203,19,5090,1556,989807,127938,130771,26325,0,1344677,4718,212,96849,0,89306,59439,56545,"94,163",1201,135,396263,334657,3395,46760,144919,96,10728,966,313,35405,162604,131821,33.0,0,92341436,2125,8,11758016,3437,254972,2628,1858,331675,930.0,54463,8,420187,7107,5224,131627,8,137996,57,20068,40198,818375,1802491,178044,5936.0,593544,104099452,26824,96,1591454,119916,1784,3645,94,887977,240965,64117,27055,2228,653,402180,136142,1706352,12,253998,105423,1168030,2146.0,5116,64826,538322,375372,103.0,2007,2034,23401,188476,0,174119,4002,328547,251790,6,14102,256124,15443,299252,"1,102",11999.0,248,244087,48405,19324,63.0,25,3.0,5341,26122,1074754,194429,392,97,30535,4625,143,17796.0,6083.0,251737,232,44,0,0
1,1,0,Bihar,Munger,4,3,0,115.0,21424,43.0,48900,2299.0,49141,130791,1030,59858,75,498676,45953,419,9066,10409,13116,918,56958,193256,43505,1638,4853,30778,46,95,1424,801817,167566,109560,24259,0,849734,11182,862,85773,0,101907,33704,18796,"94,163",2634,137,328076,308063,4871,90461,199555,96,20237,861,307,85782,138260,97195,33.0,0,92341436,1815,27,11758016,7168,248457,1855,2576,226699,930.0,93833,20,158699,6558,4394,154189,27,112707,61,28389,52077,638724,1348410,147152,5936.0,473741,104099452,21404,96,1252319,86651,2653,12592,118,729041,184033,64469,20065,2586,554,327453,99205,1367765,29,188319,110416,941107,2146.0,463,102385,426658,316713,103.0,2007,2838,6965,126411,0,149671,6270,233402,196449,6,10995,146414,23445,222281,"1,102",11999.0,338,236192,69973,17946,63.0,42,3.0,3755,16690,860147,158542,287,145,47936,4944,157,17796.0,6083.0,183846,226,44,0,0
2,2,0,Bihar,Patna,0,1,0,115.0,77267,43.0,32808,2299.0,321307,411646,4474,223867,473,2590473,271216,1105,86592,4352,24702,918,227469,510619,97253,18736,33562,83095,293,1062,7065,3459679,867118,562795,176114,0,4920726,104162,885,328240,0,463361,183921,139437,"94,163",7981,692,1431632,1210094,14948,546859,609661,96,231255,4202,1877,552103,590486,482088,33.0,0,92341436,12551,8,11758016,90643,829728,11250,21668,1244842,930.0,252246,129,1095655,38617,46126,394646,8,430595,203,78118,175456,2759953,7511199,698351,5936.0,2028047,104099452,9069,96,5356075,438830,40692,33740,463,3078512,666585,452340,71080,13609,2325,1436411,445475,5838465,180,815638,439952,3956579,2146.0,7766,507581,1881886,1382654,103.0,2007,61156,60090,607942,0,662665,17401,1371267,658203,6,4717,920051,60489,657991,"1,102",11999.0,4803,899309,453344,132582,63.0,476,3.0,49821,85349,3626564,433555,1091,2151,153095,17629,821,17796.0,6083.0,920918,230,44,0,0
3,3,0,Bihar,Rohtas,1,0,0,115.0,33837,43.0,8126,2299.0,41659,166203,1544,163333,73,876443,218087,471,58724,15251,6234,918,123491,382440,26201,13663,8169,32977,45,1584,1555,1799832,252736,248462,49892,0,2188753,15995,556,166881,0,194928,103275,87548,"94,163",2969,167,738049,608061,5613,114893,260042,96,25242,951,363,95678,291988,286596,33.0,0,92341436,2889,1,11758016,5158,433720,5119,6185,535187,930.0,73129,20,548971,12400,16006,207416,1,224824,537,35246,75928,1416372,3065196,333053,5936.0,1061783,104099452,31650,96,2645415,262950,4594,5419,121,1543546,412516,161555,28748,3809,588,707939,216940,2959918,28,407193,300487,2035039,2146.0,7318,128652,924879,673742,103.0,2007,4727,37743,356548,0,312557,6761,542439,405544,6,16399,399053,27143,512383,"1,102",11999.0,2569,432151,106218,36279,63.0,46,3.0,10819,48512,1875174,322377,299,252,57298,8103,187,17796.0,6083.0,549546,234,44,0,0
4,4,0,Gujarat,Bharuch,0,1,0,2178.0,46331,37.0,8934,34651.0,121542,190910,1024,69311,473,273829,78120,112,11477,237796,4199,919,50018,100583,34474,1310,26021,45366,293,442,3242,1118276,286525,261660,104126,0,1056350,44555,2217,76472,0,83895,51877,17153,"196,024",1295,282,495229,481996,7512,309091,225413,96,253257,1704,922,181319,176875,31979,44.0,0,34694609,9494,24,25745083,24691,279792,322,2480,161675,364.0,95961,236,367060,12246,16036,73438,24,96508,342,50563,66919,745312,1330179,188539,20565.0,623047,60439692,488194,96,1188204,30256,10257,17549,246,805707,58860,74380,4023,9470,782,468919,158205,1551019,180,254728,343511,923895,2236.0,279,204943,627124,442523,122.0,1770,20255,9888,204663,4,215142,10087,526541,253577,10,250398,164765,34619,300677,308,36829.0,1733,308906,178535,29531,385.0,336,2.0,21579,8902,844298,125360,213,4813,78625,15944,518,41129.0,11715.0,62235,488,618,0,0
5,5,0,Gujarat,Kheda,0,1,0,2178.0,52607,37.0,18115,34651.0,99982,244695,646,58036,636,482078,239241,100,28407,19279,4545,919,61231,211849,70641,2852,23201,52793,394,300,4252,1660243,322445,220959,84414,0,1749234,22358,1194,127957,0,148530,98196,27666,"196,024",875,320,717763,622026,3096,372226,282924,96,302055,2315,1169,160547,181434,59734,44.0,0,34694609,26629,3,25745083,68378,429236,307,2626,295057,364.0,157901,293,641541,14099,19498,241175,3,146364,82,61816,91976,1114158,2231312,310341,20565.0,942480,60439692,40336,96,2000884,55897,5710,18331,55,1185727,124935,84223,10647,22358,1146,674586,259397,2299885,242,388646,264482,1365902,2236.0,527,172599,933983,628221,122.0,1770,12080,25028,233592,4,218734,4445,722134,359842,10,21057,250044,42567,461479,308,36829.0,1403,349334,171342,24502,385.0,370,2.0,12788,12455,1260660,283602,320,3479,99926,19249,613,41129.0,11715.0,115631,483,618,0,0
6,6,0,Gujarat,Navsari,0,1,0,2178.0,40551,37.0,20273,34651.0,114620,177608,431,46171,411,261956,112809,36,10519,319919,2478,919,57934,81830,36228,1213,25731,41648,252,601,3256,1001909,265244,201380,115177,0,967020,25882,385,61357,0,112460,49856,11846,"196,024",993,384,462438,409156,2393,267679,193250,96,148017,1631,1019,141417,155168,17959,44.0,0,34694609,5733,1,25745083,50626,262571,201,914,145678,364.0,100295,225,266733,10792,26012,92796,1,136665,2823,43365,57528,651507,1228976,190861,20565.0,539471,60439692,639659,96,1225087,17505,6726,8673,421,678165,115032,85041,3581,7352,612,407881,183953,1329672,159,258957,78669,737838,2236.0,187,168150,591834,390349,122.0,1770,16602,9119,157653,4,191691,3235,510004,206608,10,319740,140235,29950,267739,308,36829.0,2459,281244,153431,24397,385.0,442,2.0,18669,7173,673014,117567,164,13386,78432,13415,609,41129.0,11715.0,35464,490,618,0,0
7,7,0,Gujarat,Rajkot,2,0,0,2178.0,73551,37.0,12904,34651.0,362140,446694,4125,33164,1518,738660,349357,2117,35598,11513,8555,919,211531,154267,62687,4248,62685,100983,942,1170,8498,2725056,891628,593448,428744,0,2740751,111779,1540,199955,0,204306,143427,41410,"196,024",4758,734,1210981,1181006,25539,747352,530055,96,651594,4031,2322,721532,558748,149782,44.0,0,34694609,5478,40,25745083,41220,644828,635,3338,383780,364.0,114748,866,913928,30503,29924,189183,40,355586,269,94572,156491,1830113,3479411,540278,20565.0,1514075,60439692,24017,96,3397406,140387,21785,42820,238,1974445,79342,266295,9724,11543,1709,1159480,319570,3804558,576,659576,361388,2325508,2236.0,776,543342,1479050,1052871,122.0,1770,52563,30574,605196,4,651936,29434,1324783,214285,10,12504,402240,70528,459474,308,36829.0,1918,689314,571843,67370,385.0,894,2.0,55289,23780,2080568,217110,455,33591,189220,24044,1600,41129.0,11715.0,290169,476,618,0,0
8,8,0,Gujarat,Surat,27,51,0,2178.0,216710,37.0,12286,34651.0,815423,788695,4989,157733,3094,942150,109549,84,49399,424863,5294,919,395329,148254,62145,6081,100342,193437,1924,12902,16368,4571410,2076214,1150519,530528,0,4495898,478407,402,276610,0,433651,178819,59925,"196,024",5698,1780,1883942,1899838,20722,1252452,854742,96,1047402,7398,4428,1529998,855336,82202,44.0,0,34694609,21052,347,25745083,117310,788508,1308,3945,566242,364.0,228438,1700,1332690,39959,79862,149151,347,397563,3920,174440,254274,2679098,5438048,896927,20565.0,2687468,60439692,856952,96,5260193,75913,55694,23291,167,3402224,207420,379505,8298,53718,2970,2142819,410723,6081322,1170,723415,660772,3527780,2236.0,1103,1103767,2553542,1740746,122.0,1770,112976,42215,1009087,4,995637,21375,2405288,325739,10,432089,807021,126211,369840,308,36829.0,5703,1275151,788447,149331,385.0,1684,3.0,106983,42040,3563443,149810,712,112835,340984,48229,3480,41129.0,11715.0,158115,492,618,0,0
9,9,0,Gujarat,Tapi,1,0,0,2178.0,17682,37.0,12617,34651.0,27759,99536,231,66942,482,292102,105726,17,4905,343362,2011,919,26848,113323,33468,425,4426,21094,293,1476,2945,490036,80711,105297,41058,0,510815,6958,413,43995,0,49482,37259,5612,"196,024",330,162,221029,218489,365,142370,115871,96,45663,1695,794,26217,67669,4139,44.0,0,34694609,52930,1,25745083,14494,166845,18,1942,84559,364.0,92473,194,174139,3581,8767,70420,1,56290,408,26574,34494,404834,802917,86580,20565.0,269007,60439692,679320,96,725890,4029,1601,6650,161,402188,111985,31743,1755,5381,901,251049,199853,807022,189,144575,22309,356120,2236.0,75,49441,450902,235019,122.0,1770,3704,4405,49776,4,75676,956,337579,254786,10,335958,75545,20345,192272,308,36829.0,239,171225,52359,7567,385.0,133,2.0,5534,9679,422047,123894,279,1828,43948,6229,356,41129.0,11715.0,8168,493,618,0,0
