,State,district,date,confirmed,active,recovered,deceased,DaysFromFirstDate
0,Andaman and Nicobar Islands,North and Middle Andaman,2020-04-21,1,0,1,0,96
1,Andaman and Nicobar Islands,South Andaman,2020-04-21,15,5,10,0,96
2,Andaman and Nicobar Islands,Unknown,2020-04-21,1,1,0,0,96
3,Andhra Pradesh,Anantapur,2020-04-21,36,31,2,3,96
4,Andhra Pradesh,Chittoor,2020-04-21,53,49,4,0,96
5,Andhra Pradesh,East Godavari,2020-04-21,26,18,8,0,96
6,Andhra Pradesh,Guntur,2020-04-21,157,136,15,6,96
7,Andhra Pradesh,Krishna,2020-04-21,83,63,14,6,96
8,Andhra Pradesh,Kurnool,2020-04-21,184,175,4,5,96
9,Andhra Pradesh,Prakasam,2020-04-21,44,43,1,0,96
10,Andhra Pradesh,S.P.S. Nellore,2020-04-21,68,64,2,2,96
11,Andhra Pradesh,Visakhapatnam,2020-04-21,21,3,18,0,96
12,Andhra Pradesh,West Godavari,2020-04-21,39,30,9,0,96
13,Andhra Pradesh,Y.S.R.,2020-04-21,46,27,19,0,96
14,Arunachal Pradesh,Lohit,2020-04-21,1,1,0,0,96
15,Assam,Cachar,2020-04-21,2,2,0,0,96
16,Assam,Dhubri,2020-04-21,4,4,0,0,96
17,Assam,Goalpara,2020-04-21,4,4,0,0,96
18,Assam,Golaghat,2020-04-21,1,1,0,0,96
19,Assam,Hailakandi,2020-04-21,1,1,0,0,96
20,Assam,Jorhat,2020-04-21,8,8,0,0,96
21,Assam,Kamrup,2020-04-21,1,1,0,0,96
22,Assam,Kamrup Metropolitan,2020-04-21,6,6,0,0,96
23,Assam,Lakhimpur,2020-04-21,1,1,0,0,96
24,Assam,Morigaon,2020-04-21,3,3,0,0,96
25,Assam,Nalbari,2020-04-21,3,3,0,0,96
26,Assam,South Salmara Mancachar,2020-04-21,1,1,0,0,96
27,Bihar,Begusarai,2020-04-21,9,9,0,0,96
28,Bihar,Bhagalpur,2020-04-21,1,1,0,0,96
29,Bihar,Bhojpur,2020-04-21,1,1,0,0,96
30,Bihar,Buxar,2020-04-21,8,8,0,0,96
31,Bihar,Gaya,2020-04-21,5,5,0,0,96
32,Bihar,Gopalganj,2020-04-21,3,3,0,0,96
33,Bihar,Lakhisarai,2020-04-21,1,1,0,0,96
34,Bihar,Munger,2020-04-21,27,27,0,0,96
35,Bihar,Nalanda,2020-04-21,28,28,0,0,96
36,Bihar,Nawada,2020-04-21,3,3,0,0,96
37,Bihar,Patna,2020-04-21,8,8,0,0,96
38,Bihar,Rohtas,2020-04-21,1,1,0,0,96
39,Bihar,Saran,2020-04-21,1,1,0,0,96
40,Bihar,Siwan,2020-04-21,29,29,0,0,96
41,Bihar,Vaishali,2020-04-21,1,1,0,0,96
42,Chandigarh,Chandigarh,2020-04-21,27,13,14,0,96
43,Chhattisgarh,Bilaspur,2020-04-21,1,1,0,0,96
44,Chhattisgarh,Durg,2020-04-21,1,1,0,0,96
45,Chhattisgarh,Korba,2020-04-21,28,28,0,0,96
46,Chhattisgarh,Raipur,2020-04-21,5,5,0,0,96
47,Chhattisgarh,Rajnandgaon,2020-04-21,1,1,0,0,96
48,Delhi,Delhi,2020-04-21,1,1,0,0,96
49,Delhi,Delhi,2020-04-21,5,5,0,0,96
50,Delhi,Delhi,2020-04-21,3,3,0,0,96
51,Delhi,Delhi,2020-04-21,1,1,0,0,96
52,Delhi,Delhi,2020-04-21,3,3,0,0,96
53,Delhi,Delhi,2020-04-21,26,26,0,0,96
54,Delhi,Delhi,2020-04-21,3,3,0,0,96
55,Delhi,Delhi,2020-04-21,2112,2112,0,0,96
56,Delhi,Delhi,2020-04-21,2,2,0,0,96
57,Goa,North Goa,2020-04-21,4,4,0,0,96
58,Goa,Unknown,2020-04-21,3,3,0,0,96
59,Gujarat,Ahmadabad,2020-04-21,1373,1373,0,0,96
60,Gujarat,Anand,2020-04-21,28,28,0,0,96
61,Gujarat,Aravalli,2020-04-21,12,12,0,0,96
62,Gujarat,Banas Kantha,2020-04-21,15,15,0,0,96
63,Gujarat,Bharuch,2020-04-21,24,24,0,0,96
64,Gujarat,Bhavnagar,2020-04-21,32,32,0,0,96
65,Gujarat,Botad,2020-04-21,7,7,0,0,96
66,Gujarat,Chota Udaipur,2020-04-21,7,7,0,0,96
67,Gujarat,Dahod,2020-04-21,4,4,0,0,96
68,Gujarat,Gandhinagar,2020-04-21,17,17,0,0,96
69,Gujarat,Gir Somnath,2020-04-21,3,3,0,0,96
70,Gujarat,Jamnagar,2020-04-21,1,1,0,0,96
71,Gujarat,Kachchh,2020-04-21,6,6,0,0,96
72,Gujarat,Kheda,2020-04-21,3,3,0,0,96
73,Gujarat,Mahesana,2020-04-21,7,7,0,0,96
74,Gujarat,Mahisagar,2020-04-21,3,3,0,0,96
75,Gujarat,Morbi,2020-04-21,1,1,0,0,96
76,Gujarat,Narmada,2020-04-21,12,12,0,0,96
77,Gujarat,Navsari,2020-04-21,1,1,0,0,96
78,Gujarat,Panch Mahals,2020-04-21,11,11,0,0,96
79,Gujarat,Patan,2020-04-21,15,15,0,0,96
80,Gujarat,Porbandar,2020-04-21,3,3,0,0,96
81,Gujarat,Rajkot,2020-04-21,40,40,0,0,96
82,Gujarat,Sabar Kantha,2020-04-21,3,3,0,0,96
83,Gujarat,Surat,2020-04-21,347,347,0,0,96
84,Gujarat,Tapi,2020-04-21,1,1,0,0,96
85,Gujarat,Vadodara,2020-04-21,199,199,0,0,96
86,Gujarat,Valsad,2020-04-21,3,3,0,0,96
87,Haryana,Ambala,2020-04-21,11,11,0,0,96
88,Haryana,Bhiwani,2020-04-21,3,3,0,0,96
89,Haryana,Charki Dadri,2020-04-21,1,1,0,0,96
90,Haryana,Faridabad,2020-04-21,43,43,0,0,96
91,Haryana,Fatehabad,2020-04-21,1,1,0,0,96
92,Haryana,Gurugram,2020-04-21,37,37,0,0,96
93,Haryana,Hisar,2020-04-21,2,2,0,0,96
94,Haryana,Italians*,2020-04-21,14,14,0,0,96
95,Haryana,Jind,2020-04-21,2,2,0,0,96
96,Haryana,Kaithal,2020-04-21,2,2,0,0,96
97,Haryana,Karnal,2020-04-21,6,6,0,0,96
98,Haryana,Kurukshetra,2020-04-21,2,2,0,0,96
99,Haryana,Nuh,2020-04-21,57,57,0,0,96
100,Haryana,Palwal,2020-04-21,34,34,0,0,96
101,Haryana,Panchkula,2020-04-21,18,18,0,0,96
102,Haryana,Panipat,2020-04-21,5,5,0,0,96
103,Haryana,Rohtak,2020-04-21,1,1,0,0,96
104,Haryana,Sirsa,2020-04-21,4,4,0,0,96
105,Haryana,Sonipat,2020-04-21,9,9,0,0,96
106,Haryana,Yamunanagar,2020-04-21,3,3,0,0,96
107,Himachal Pradesh,Chamba,2020-04-21,6,3,3,0,96
108,Himachal Pradesh,Hamirpur,2020-04-21,2,2,0,0,96
109,Himachal Pradesh,Kangra,2020-04-21,5,1,3,1,96
110,Himachal Pradesh,Sirmaur,2020-04-21,1,1,0,0,96
111,Himachal Pradesh,Solan,2020-04-21,9,2,7,0,96
112,Himachal Pradesh,Una,2020-04-21,16,14,2,0,96
113,Jammu and Kashmir,Anantnag,2020-04-21,7,7,0,0,96
114,Jammu and Kashmir,Badgam,2020-04-21,14,14,0,0,96
115,Jammu and Kashmir,Bandipore,2020-04-21,91,91,0,0,96
116,Jammu and Kashmir,Baramula,2020-04-21,45,45,0,0,96
117,Jammu and Kashmir,Ganderbal,2020-04-21,14,14,0,0,96
118,Jammu and Kashmir,Jammu,2020-04-21,26,26,0,0,96
119,Jammu and Kashmir,Kathua,2020-04-21,1,1,0,0,96
120,Jammu and Kashmir,Kishtwar,2020-04-21,1,1,0,0,96
121,Jammu and Kashmir,Kulgam,2020-04-21,6,6,0,0,96
122,Jammu and Kashmir,Kupwara,2020-04-21,33,33,0,0,96
123,Jammu and Kashmir,Pulwama,2020-04-21,3,3,0,0,96
124,Jammu and Kashmir,Rajouri,2020-04-21,4,4,0,0,96
125,Jammu and Kashmir,Samba,2020-04-21,4,4,0,0,96
126,Jammu and Kashmir,Shupiyan,2020-04-21,32,32,0,0,96
127,Jammu and Kashmir,Srinagar,2020-04-21,79,79,0,0,96
128,Jammu and Kashmir,Udhampur,2020-04-21,20,20,0,0,96
129,Jharkhand,Bokaro,2020-04-21,11,11,0,0,96
130,Jharkhand,Deoghar,2020-04-21,1,1,0,0,96
131,Jharkhand,Dhanbad,2020-04-21,2,2,0,0,96
132,Jharkhand,Giridih,2020-04-21,1,1,0,0,96
133,Jharkhand,Hazaribagh,2020-04-21,3,3,0,0,96
134,Jharkhand,Kodarma,2020-04-21,1,1,0,0,96
135,Jharkhand,Ranchi,2020-04-21,25,25,0,0,96
136,Jharkhand,Simdega,2020-04-21,2,2,0,0,96
137,Karnataka,Bagalkote,2020-04-21,21,21,0,0,96
138,Karnataka,Ballari,2020-04-21,13,13,0,0,96
139,Karnataka,Belagavi,2020-04-21,43,43,0,0,96
140,Karnataka,Bengaluru,2020-04-21,100,100,0,0,96
141,Karnataka,Bengaluru Rural,2020-04-21,5,5,0,0,96
142,Karnataka,Bidar,2020-04-21,15,15,0,0,96
