state,type_Collection Site,type_Government Laboratory,type_Private Laboratory
Andaman and Nicobar Islands,0,1,0
Andhra Pradesh,0,7,0
Arunachal Pradesh,1,0,0
Assam,0,6,0
Bihar,0,6,0
Chandigarh,0,3,0
Chhattisgarh,0,3,0
Dadra and Nagar Haveli and Daman and Diu,0,1,0
Delhi,0,8,10
Goa,0,1,0
Gujarat,0,10,4
Haryana,0,5,6
Himachal Pradesh,0,3,0
Jammu and Kashmir,0,4,0
Jharkhand,0,3,0
Karnataka,0,12,5
Kerala,0,10,2
Ladakh,1,0,0
Madhya Pradesh,0,9,1
Maharashtra,0,20,19
Manipur,0,2,0
Meghalaya,0,1,0
Mizoram,0,1,0
Odisha,0,6,1
Puducherry,0,1,0
Punjab,0,3,2
Rajasthan,0,8,1
Sikkim,1,0,0
Tamil Nadu,0,16,10
Telangana,0,7,12
Tripura,0,1,0
Uttar Pradesh,0,15,2
Uttarakhand,0,2,1
West Bengal,0,7,6
