,Date,Status,Delhi,Gujurat,Maharashtra,Tamil Nadu,DaysFromFirstCase
0,2020-03-14,1,7,0,14,1,0
1,2020-03-14,3,1,0,0,0,0
2,2020-03-14,2,1,0,0,0,0
3,2020-03-15,1,0,0,18,0,1
4,2020-03-15,3,1,0,0,0,1
5,2020-03-15,2,0,0,0,0,1
6,2020-03-16,1,0,0,6,0,2
7,2020-03-16,3,0,0,0,1,2
8,2020-03-16,2,0,0,0,0,2
9,2020-03-17,1,1,0,3,0,3
10,2020-03-17,3,0,0,0,0,3
11,2020-03-17,2,0,0,1,0,3
12,2020-03-18,1,2,0,3,1,4
13,2020-03-18,3,0,0,0,0,4
14,2020-03-18,2,0,0,0,0,4
15,2020-03-19,1,4,2,4,1,5
16,2020-03-19,3,1,0,0,0,5
17,2020-03-19,2,0,0,0,0,5
18,2020-03-20,1,6,5,4,0,6
19,2020-03-20,3,2,0,0,0,6
20,2020-03-20,2,0,0,0,0,6
21,2020-03-21,1,7,7,12,3,7
22,2020-03-21,3,0,0,0,0,7
23,2020-03-21,2,0,0,0,0,7
24,2020-03-22,1,0,4,10,3,8
25,2020-03-22,3,0,0,0,0,8
26,2020-03-22,2,0,1,1,0,8
27,2020-03-23,1,3,12,23,3,9
28,2020-03-23,3,0,0,0,0,9
29,2020-03-23,2,0,0,0,0,9
30,2020-03-24,1,0,4,10,6,10
31,2020-03-24,3,1,0,0,0,10
32,2020-03-24,2,0,0,0,1,10
33,2020-03-25,1,5,4,15,8,11
34,2020-03-25,3,0,0,1,0,11
35,2020-03-25,2,0,0,0,0,11
36,2020-03-26,1,1,5,3,3,12
37,2020-03-26,3,0,0,0,0,12
38,2020-03-26,2,0,2,1,0,12
39,2020-03-27,1,4,4,31,9,13
40,2020-03-27,3,0,0,18,1,13
41,2020-03-27,2,0,0,1,0,13
42,2020-03-28,1,9,8,30,4,14
43,2020-03-28,3,0,0,6,0,14
44,2020-03-28,2,0,1,2,0,14
45,2020-03-29,1,23,8,17,8,15
46,2020-03-29,3,0,1,0,0,15
47,2020-03-29,2,1,1,1,0,15
48,2020-03-30,1,25,7,17,17,16
49,2020-03-30,3,0,2,14,2,16
50,2020-03-30,2,0,1,2,0,16
51,2020-03-31,1,23,4,82,57,17
52,2020-03-31,3,0,2,0,2,17
53,2020-03-31,2,0,0,1,0,17
54,2020-04-01,1,32,13,33,110,18
55,2020-04-01,3,0,0,0,0,18
56,2020-04-01,2,0,0,3,0,18
57,2020-04-02,1,141,1,88,75,19
58,2020-04-02,3,2,5,3,0,19
59,2020-04-02,2,2,1,8,0,19
60,2020-04-03,1,93,7,64,102,20
61,2020-04-03,3,0,0,8,0,20
62,2020-04-03,2,2,2,5,0,20
63,2020-04-04,1,59,13,148,74,21
64,2020-04-04,3,8,3,2,2,21
65,2020-04-04,2,0,1,6,2,21
66,2020-04-05,1,58,20,112,86,22
67,2020-04-05,3,0,8,4,0,22
68,2020-04-05,2,1,1,13,2,22
69,2020-04-06,1,22,18,121,50,23
70,2020-04-06,3,0,1,14,5,23
71,2020-04-06,2,0,1,7,1,23
72,2020-04-07,1,51,29,150,69,24
73,2020-04-07,3,4,3,9,6,24
74,2020-04-07,2,2,2,12,1,24
75,2020-04-08,1,93,11,117,48,25
76,2020-04-08,3,1,0,38,2,25
77,2020-04-08,2,0,2,8,1,25
78,2020-04-09,1,51,76,229,96,26
79,2020-04-09,3,4,1,8,6,26
80,2020-04-09,2,3,2,25,0,26
81,2020-04-10,1,183,116,210,77,27
82,2020-04-10,3,2,7,63,17,27
83,2020-04-10,2,2,1,12,1,27
84,2020-04-11,1,166,90,187,58,28
85,2020-04-11,3,0,11,20,0,28
86,2020-04-11,2,5,3,17,1,28
87,2020-04-12,1,85,48,221,106,29
88,2020-04-12,3,1,0,9,6,29
89,2020-04-12,2,5,2,22,1,29
90,2020-04-13,1,356,56,352,98,30
91,2020-04-13,3,3,10,12,8,30
92,2020-04-13,2,4,2,11,0,30
93,2020-04-14,1,51,78,346,31,31
94,2020-04-14,3,0,5,30,23,31
95,2020-04-14,2,2,2,18,1,31
96,2020-04-15,1,17,116,236,38,32
97,2020-04-15,3,10,5,36,37,32
98,2020-04-15,2,2,5,9,2,32
99,2020-04-16,1,62,163,285,25,33
100,2020-04-16,3,11,9,5,62,33
101,2020-04-16,2,6,3,7,1,33
102,2020-04-17,1,67,170,120,56,34
103,2020-04-17,3,20,13,31,103,34
104,2020-04-17,2,4,5,7,0,34
105,2020-04-18,1,186,277,327,49,35
106,2020-04-18,3,135,7,34,82,35
107,2020-04-18,2,1,12,10,0,35
108,2020-04-19,1,110,367,552,105,36
109,2020-04-19,3,83,12,142,46,36
110,2020-04-19,2,2,10,12,0,36
111,2020-04-20,1,78,196,466,43,37
112,2020-04-20,3,141,26,65,46,37
113,2020-04-20,2,2,8,9,2,37
114,2020-04-21,1,75,239,552,76,38
115,2020-04-21,3,180,8,150,178,38
116,2020-04-21,2,0,19,19,1,38
117,2020-04-22,1,92,229,431,33,39
118,2020-04-22,3,113,40,67,27,39
119,2020-04-22,2,1,13,18,0,39
120,2020-04-23,1,128,217,778,54,40
121,2020-04-23,3,84,79,51,90,40
122,2020-04-23,2,2,9,14,2,40
123,2020-04-24,1,138,191,390,72,41
124,2020-04-24,3,49,7,117,114,41
